,ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,Complain,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,NumDealsPurchases,Response,Spent,Children,Is_Parent,Age,Month,cluster,embedding_x,embedding_y
0,5524,1957,Graduation,Single,58138.0,0,0,2012-09-04,58,0,635,88,546,172,88,88,8,10,4,7,3,1,1617,0,0,67,9,Clientes Premium Exclusivos,15.855142593383789,-5.291514873504639
1,2174,1954,Graduation,Single,46344.0,1,1,2014-03-08,38,0,11,1,6,2,1,6,1,1,2,5,2,0,27,2,1,70,3,Pais Experientes Consumistas,0.057350147515535355,20.811193466186523
2,4141,1965,Graduation,Together,71613.0,0,0,2013-08-21,26,0,426,49,127,111,21,42,8,2,10,4,1,0,776,0,0,59,8,Famílias Vinícolas,12.72495174407959,5.187976360321045
3,6182,1984,Graduation,Together,26646.0,1,0,2014-02-10,26,0,11,4,20,10,3,5,2,0,4,6,2,0,53,1,1,40,2,Tradicionais Moderados,0.4173084795475006,0.37312206625938416
4,5324,1981,PhD,Married,58293.0,1,0,2014-01-19,94,0,173,43,118,46,27,15,5,3,6,5,5,0,422,1,1,43,1,Tradicionais Moderados,1.5233806371688843,2.994353771209717
5,7446,1967,Master,Together,62513.0,0,1,2013-09-09,16,0,520,42,98,0,42,14,6,4,10,6,2,0,716,1,1,57,9,Econômicos Jovens,9.050519943237305,14.735220909118652
6,965,1971,Graduation,Divorced,55635.0,0,1,2012-11-13,34,0,235,65,164,50,49,27,7,3,7,6,4,0,590,1,1,53,11,Econômicos Jovens,9.666955947875977,14.645877838134766
7,6177,1985,PhD,Married,33454.0,1,0,2013-05-08,32,0,76,10,56,3,1,23,4,0,4,8,2,0,169,1,1,39,5,Tradicionais Moderados,1.409623146057129,0.41362646222114563
8,4855,1974,PhD,Together,30351.0,1,0,2013-06-06,19,0,14,0,24,3,3,2,3,0,2,9,1,1,46,1,1,50,6,Caçadores de Descontos,-3.9231841564178467,11.40976333618164
9,5899,1950,PhD,Together,5648.0,1,1,2014-03-13,68,0,28,0,6,1,1,13,1,0,0,20,1,0,49,2,1,74,3,Pais Experientes Consumistas,0.8380521535873413,19.952796936035156
10,387,1976,Basic,Married,7500.0,0,0,2012-11-13,59,0,6,16,11,11,1,16,2,0,3,8,1,0,61,0,0,48,11,Famílias Vinícolas,17.550613403320312,5.500945091247559
11,2125,1959,Graduation,Divorced,63033.0,0,0,2013-11-15,82,0,194,61,480,225,112,30,3,4,8,2,1,0,1102,0,0,65,11,Famílias Vinícolas,14.708719253540039,4.7279839515686035
12,8180,1952,Master,Divorced,59354.0,1,1,2013-11-15,53,0,233,2,53,3,5,14,6,1,5,6,3,0,310,2,1,72,11,Pais Experientes Consumistas,0.3866593539714813,19.815080642700195
13,2569,1987,Graduation,Married,17323.0,0,0,2012-10-10,38,0,3,14,17,6,1,5,1,0,3,8,1,0,46,0,0,37,10,Famílias Vinícolas,18.207910537719727,4.460113525390625
14,2114,1946,PhD,Single,82800.0,0,0,2012-11-24,23,0,1006,22,115,59,68,45,7,6,12,3,1,1,1315,0,0,78,11,Clientes Premium Exclusivos,15.780327796936035,-5.689479827880859
15,9736,1980,Graduation,Married,41850.0,1,1,2012-12-24,51,0,53,5,19,2,13,4,3,0,3,8,3,0,96,2,1,44,12,Pais Experientes Consumistas,-1.3872361183166504,20.050594329833984
16,4939,1946,Graduation,Together,37760.0,0,0,2012-08-31,20,0,84,5,38,150,12,28,4,1,6,7,2,0,317,0,0,78,8,Famílias Vinícolas,16.533309936523438,5.380475044250488
17,6565,1949,Master,Married,76995.0,0,1,2013-03-28,91,0,1012,80,498,0,16,176,11,4,9,5,2,0,1782,1,1,75,3,Econômicos Jovens,10.2949857711792,13.772416114807129
18,2278,1985,2n Cycle,Single,33812.0,1,0,2012-11-03,86,0,4,17,19,30,24,39,2,1,3,6,2,0,133,1,1,39,11,Tradicionais Moderados,2.6877901554107666,2.732996940612793
19,9360,1982,Graduation,Married,37040.0,0,0,2012-08-08,41,0,86,2,73,69,38,48,4,2,5,8,1,0,316,0,0,42,8,Famílias Vinícolas,17.78438377380371,5.2564849853515625
20,5376,1979,Graduation,Married,2447.0,1,0,2013-01-06,42,0,1,1,1725,1,1,1,0,28,0,1,15,0,1730,1,1,45,1,Famílias Vinícolas,13.232855796813965,6.087347030639648
21,1993,1949,PhD,Married,58607.0,0,1,2012-12-23,63,0,867,0,86,0,0,19,2,3,9,8,3,0,972,1,1,75,12,Econômicos Jovens,10.352385520935059,14.957832336425781
22,4047,1954,PhD,Married,65324.0,0,1,2014-01-11,0,0,384,0,102,21,32,5,6,2,9,4,3,0,544,1,1,70,1,Econômicos Jovens,9.450587272644043,16.184158325195312
